169,Discharge Temp (F),
171,Space Temp (F),
270,Airflow (cfm),
271,Airflow Stpt (cfm),
273,Dmpr Opening (),
274,Space Temp Stpt (F),
275,HW Re,Heat Valve Opening ()
184,Occupancy Sts (0,Bypass,Occupie),
272,CO2 Level (ppm),
168,Cooling Valve Sts (),
276,Space RH (%RH),
217,Occupancy Cmd (Occupied,Unoccup),
63,Dew Point Temp (F),
419,Cooling Temp Stpt (F),
420,Heating Temp Stpt (F),
196,Occupancy Sts (Occupied,Standby),
1095,Predicted Mean Vote (),
1096,Predicted Percent Dissatisfied (%),
1097,Energy Calculation (kWh),
